date, iphone_doc, ipad_doc, android_doc, apad_doc, android_sofe, android_sofe_0227 apad_sofe, win7_sofe, wm_sofe, wid3_sofe, wid5_sofe, kjava_sofe, kjava_touchsofe, androidpaike, androidpaike_doc, androidpaike1.2, androidpaike1.2.2, iphonepaike_doc
20120201, 394, 864, 864, 487, 7010, 0, 3158, 876, 1623, 4123, 7995, 5268, 291, 16, 1618, 18009, 0, 0
20120202, 22, 23, 193, 156, 2947, 0, 1461, 72, 1432, 3553, 7305, 3663, 111, 51, 831, 4202, 0, 0
20120203, 17, 44, 256, 65, 3323, 0, 1274, 118, 1115, 3378, 7075, 3425, 67, 62, 637, 4919, 0, 0
20120204, 5, 30, 180, 129, 3541, 0, 1170, 91, 1232, 3519, 7075, 3598, 37, 57, 590, 5016, 0, 0
20120205, 31, 22, 233, 64, 4085, 0, 1356, 119, 1735, 3560, 7116, 3533, 57, 15, 622, 4640, 0, 0
20120206, 69, 6, 205, 34, 3504, 0, 985, 130, 1125, 3421, 6989, 3339, 89, 2, 683, 4784, 0, 0
20120207, 37, 36, 237, 73, 2900, 0, 1091, 92, 1248, 3462, 6534, 3135, 44, 30, 697, 4704, 0, 0
20120208, 48, 17, 124, 47, 3107, 0, 1036, 83, 1237, 3227, 6829, 3028, 70, 6, 682, 4117, 0, 0
20120209, 36, 107, 375, 107, 3843, 0, 1125, 65, 1471, 3384, 6801, 2970, 68, 20, 612, 4121, 0, 0
20120210, 55, 72, 131, 116, 3025, 0, 980, 98, 1616, 3267, 6689, 2866, 36, 6, 685, 3870, 0, 0
20120211, 17, 44, 249, 111, 3300, 0, 1514, 103, 1750, 3470, 6877, 3084, 117, 0, 755, 4425, 0, 0
20120212, 26, 26, 219, 79, 3544, 0, 1277, 127, 1644, 3714, 7368, 3198, 87, 0, 690, 4739, 0, 0
20120213, 17, 106, 166, 66, 3289, 0, 1440, 77, 1126, 3178, 6374, 2660, 56, 4, 545, 4587, 0, 0
20120214, 35, 6, 168, 56, 3219, 0, 1082, 35, 1290, 3367, 6804, 2844, 25, 45, 553, 4082, 0, 0
20120215, 55, 41, 217, 128, 3477, 0, 1221, 83, 1312, 3384, 6641, 3020, 53, 1, 587, 3952, 0, 0
20120216, 8, 50, 146, 74, 3655, 0, 1104, 65, 1045, 3327, 6905, 2975, 62, 2, 595, 4306, 0, 85
20120217, 28, 21, 184, 61, 3478, 0, 1217, 71, 1560, 3140, 6897, 3157, 43, 19, 686, 4390, 0, 149
20120218, 36, 7, 242, 101, 4527, 0, 1360, 75, 1798, 3511, 7555, 3510, 50, 23, 710, 5032, 0, 300
20120219, 7, 12, 184, 59, 3970, 0, 1064, 118, 1807, 3806, 7744, 3586, 48, 0, 656, 5175, 0, 233
20120220, 11, 23, 165, 60, 3064, 0, 1198, 70, 1038, 3547, 6803, 2954, 51, 5, 802, 4309, 0, 207
20120221, 5, 2, 202, 86, 2692, 0, 891, 49, 995, 3440, 7203, 3168, 63, 0, 763, 4188, 0, 213
20120222, 57, 4, 162, 74, 2964, 0, 1132, 75, 994, 3639, 7876, 3156, 68, 1, 754, 4244, 0, 166
20120223, 21, 4, 115, 53, 2901, 0, 1195, 132, 1146, 3537, 7456, 3217, 26, 0, 872, 4362, 0, 274
20120224, 25, 39, 314, 51, 4296, 0, 1180, 71, 1191, 3337, 7816, 3091, 78, 0, 910, 4636, 0, 208
20120225, 22, 3, 233, 76, 3867, 0, 1605, 57, 1307, 3800, 7937, 3545, 115, 1, 786, 5519, 0, 238
20120226, 24, 19, 200, 87, 3335, 0, 1461, 86, 1333, 3770, 7704, 3371, 127, 96, 825, 5213, 0, 181
20120227, 7, 35, 174, 73, 2980, 0, 1019, 115, 1072, 3442, 7152, 4137, 32, 93, 907, 1530, 0, 217
20120228, 9, 6, 191, 48, 1293, 1513, 1175, 45, 1240, 3421, 7371, 3002, 70, 23, 791, 18, 3544, 190
20120229, 13, 6, 159, 65, 95, 2756, 915, 58, 1422, 4110, 8107, 3717, 59, 73, 1176, 416, 4551, 184
